EnvironmentSatisfaction,JobSatisfaction,Age,Attrition,BusinessTravel,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,WorkingHours
3,4,51,0,1,131160,1,1,0,7
3,2,31,1,2,41890,6,5,4,8
2,2,32,0,2,193280,5,5,3,7
4,4,38,0,0,83210,13,8,5,7
4,1,32,0,1,23420,9,6,4,8
3,2,46,0,1,40710,28,7,7,11
1,3,28,1,1,58130,5,0,0,7
1,2,29,0,1,31430,10,0,0,7
2,4,31,0,1,20440,10,9,8,7
2,1,25,0,0,134640,6,6,5,7
3,4,45,0,1,79910,21,20,10,9
3,4,36,0,1,33770,16,15,11,7
4,1,55,0,1,55380,37,36,13,9
1,2,47,1,0,57620,10,10,9,9
4,4,28,0,1,25920,5,5,4,6
3,4,37,0,1,53460,7,5,1,7
4,3,21,0,1,42130,3,3,0,7
1,4,37,0,0,41270,15,5,2,11
2,2,35,0,1,24380,10,7,2,7
1,1,38,0,1,68700,8,8,7,9
3,2,26,0,2,104470,6,6,4,8
1,2,50,0,1,96670,28,10,6,6
3,3,53,0,1,21480,21,5,3,8
2,3,42,0,1,89260,10,20,6,7
2,4,29,0,2,65130,10,10,9,7
2,4,55,0,1,67990,12,10,8,10
1,1,26,0,2,162910,5,5,3,11
4,4,37,0,1,27050,17,17,7,8
4,3,44,1,2,103330,19,1,0,11
4,4,38,0,1,44480,10,2,2,7
1,2,26,1,1,68540,5,3,2,10
4,4,28,0,1,96370,5,5,2,7
3,1,49,0,2,35910,22,3,2,10
3,2,36,0,1,54050,10,8,7,7
4,2,31,0,2,46840,2,2,2,7
4,4,26,1,1,157870,8,8,4,10
2,4,37,0,2,15140,4,4,2,10
3,2,42,0,2,29560,23,20,8,6
3,3,18,1,1,23350,0,0,0,7
3,2,35,0,1,51540,12,11,9,8
3,3,36,0,2,69620,4,1,0,8
4,2,51,0,1,56750,13,4,2,8
4,2,41,0,1,23790,22,22,4,7
4,3,18,0,1,38120,0,0,0,7
2,1,28,0,1,46480,9,8,7,8
2,4,31,0,1,29360,10,8,7,7
3,4,39,0,1,21050,19,18,7,8
2,2,36,0,0,85780,11,9,8,8
4,3,32,0,1,27060,13,13,8,7
1,2,38,0,1,63840,19,10,1,7
4,3,58,0,0,39680,12,5,2,11
